Valor nulo: -9999.9												
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2019 12 16 05	2.36	14.5	17.7	353	-9999.9	-9999.9	2.22	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 06	2.35	14.5	17.7	353	-9999.9	-9999.9	2.21	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 07	2.33	14.4	17.7	353	-9999.9	-9999.9	2.19	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 08	2.3	14.4	16.1	353	-9999.9	-9999.9	2.16	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 09	2.25	14.4	16.1	353	-9999.9	-9999.9	2.13	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 10	2.21	14.4	16.1	352	-9999.9	-9999.9	2.09	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 11	2.16	14.4	16.1	352	-9999.9	-9999.9	2.04	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 12	2.12	14.4	16.1	352	-9999.9	-9999.9	2.01	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 13	2.06	14.4	16.1	352	-9999.9	-9999.9	1.96	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 14	2.02	14.4	16.1	352	-9999.9	-9999.9	1.92	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 15	1.97	14.4	16.1	352	-9999.9	-9999.9	1.88	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 16	1.92	14.4	17.7	352	-9999.9	-9999.9	1.83	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 17	1.88	14.3	17.7	352	-9999.9	-9999.9	1.79	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 18	1.83	14.3	17.7	352	-9999.9	-9999.9	1.74	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 19	1.78	14.2	16.1	352	-9999.9	-9999.9	1.69	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 20	1.73	14.0	16.1	352	-9999.9	-9999.9	1.65	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 21	1.68	13.9	16.1	352	-9999.9	-9999.9	1.6	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 22	1.63	13.1	16.1	352	-9999.9	-9999.9	1.55	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 16 23	1.62	10.1	16.1	349	-9999.9	-9999.9	1.49	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 00	1.67	9.0	16.1	349	-9999.9	-9999.9	1.46	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 01	1.62	10.2	16.1	350	-9999.9	-9999.9	1.41	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 02	1.6	10.3	16.1	350	-9999.9	-9999.9	1.37	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 03	1.61	9.9	16.1	350	-9999.9	-9999.9	1.34	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 04	1.6	9.8	16.1	350	-9999.9	-9999.9	1.32	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 05	1.56	9.7	16.1	350	-9999.9	-9999.9	1.29	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 06	1.53	9.8	16.1	351	-9999.9	-9999.9	1.27	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 07	1.51	10.0	16.1	351	-9999.9	-9999.9	1.24	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 08	1.49	10.1	16.1	351	-9999.9	-9999.9	1.22	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 09	1.47	10.1	16.1	352	-9999.9	-9999.9	1.2	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
2019 12 17 10	1.45	10.0	14.7	352	-9999.9	-9999.9	1.18	-9999.9	-9999.9	-9999.9	-9999.9	-9999.9
