Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2020 01 09 12	0.002	278.1
2020 01 09 13	0.001	63.57
2020 01 09 14	0.01	86.2
2020 01 09 15	0.019	91.01
2020 01 09 16	0.025	91.51
2020 01 09 17	0.029	91.28
2020 01 09 18	0.034	92.78
2020 01 09 19	0.042	92.7
2020 01 09 20	0.051	92.61
2020 01 09 21	0.058	93.25
2020 01 09 22	0.063	92.99
2020 01 09 23	0.066	92.89
2020 01 10 00	0.067	92.84
2020 01 10 01	0.067	92.55
2020 01 10 02	0.068	92.51
2020 01 10 03	0.069	92.2
2020 01 10 04	0.07	91.89
2020 01 10 05	0.073	91.83
2020 01 10 06	0.076	91.76
2020 01 10 07	0.077	92.23
2020 01 10 08	0.076	92.51
2020 01 10 09	0.072	92.37
2020 01 10 10	0.067	92.55
2020 01 10 11	0.06	93.16
2020 01 10 12	0.053	93.19
2020 01 10 13	0.049	92.72
2020 01 10 14	0.046	92.49
2020 01 10 15	0.044	92.13
2020 01 10 16	0.044	92.17
2020 01 10 17	0.044	91.73
2020 01 10 18	0.044	91.73
2020 01 10 19	0.046	91.66
2020 01 10 20	0.048	91.57
2020 01 10 21	0.05	91.89
2020 01 10 22	0.05	92.27
2020 01 10 23	0.049	92.32
2020 01 11 00	0.047	92.82
2020 01 11 01	0.044	92.58
2020 01 11 02	0.041	92.31
2020 01 11 03	0.038	91.99
2020 01 11 04	0.037	92.06
2020 01 11 05	0.036	91.56
2020 01 11 06	0.037	91.03
2020 01 11 07	0.039	90.98
2020 01 11 08	0.039	91.47
2020 01 11 09	0.034	92.2
2020 01 11 10	0.026	92.2
2020 01 11 11	0.014	93.99
2020 01 11 12	0.001	101.28
2020 01 11 13	0.011	273.47
2020 01 11 14	0.022	272.52
2020 01 11 15	0.033	274.04
2020 01 11 16	0.036	274.15
2020 01 11 17	0.032	275.87
2020 01 11 18	0.02	277.33
2020 01 11 19	0.003	300.83
2020 01 11 20	0.017	86.78
2020 01 11 21	0.034	91.11
2020 01 11 22	0.042	92.25
2020 01 11 23	0.041	92.74
2020 01 12 00	0.039	93.36
2020 01 12 01	0.033	94.04
2020 01 12 02	0.026	93.61
2020 01 12 03	0.019	92.91
2020 01 12 04	0.015	92.55
2020 01 12 05	0.012	90.01
2020 01 12 06	0.014	88.68
2020 01 12 07	0.018	88.97
2020 01 12 08	0.024	89.22
2020 01 12 09	0.029	90.0
2020 01 12 10	0.028	91.33
2020 01 12 11	0.023	92.48
2020 01 12 12	0.013	94.28
2020 01 12 13	0.002	90.0
2020 01 12 14	0.005	273.34
2020 01 12 15	0.012	276.32
2020 01 12 16	0.014	278.1
2020 01 12 17	0.012	280.97
2020 01 12 18	0.006	292.75
2020 01 12 19	0.004	57.61
2020 01 12 20	0.015	82.59
2020 01 12 21	0.027	88.6
2020 01 12 22	0.031	90.0
2020 01 12 23	0.03	90.63
2020 01 13 00	0.026	91.45
2020 01 13 01	0.022	92.56
2020 01 13 02	0.017	92.16
2020 01 13 03	0.015	91.28
2020 01 13 04	0.014	90.01
2020 01 13 05	0.016	90.01
2020 01 13 06	0.02	89.06
2020 01 13 07	0.026	89.27
2020 01 13 08	0.033	89.43
2020 01 13 09	0.039	90.97
2020 01 13 10	0.044	91.71
2020 01 13 11	0.046	92.07
2020 01 13 12	0.044	93.03
2020 01 13 13	0.039	93.42
2020 01 13 14	0.032	94.16
2020 01 13 15	0.024	92.35
2020 01 13 16	0.019	91.97
2020 01 13 17	0.015	91.22
2020 01 13 18	0.015	90.01
2020 01 13 19	0.017	88.91
2020 01 13 20	0.021	89.13
2020 01 13 21	0.026	90.0
2020 01 13 22	0.031	90.62
2020 01 13 23	0.032	91.19
2020 01 14 00	0.03	91.86
2020 01 14 01	0.026	92.14
2020 01 14 02	0.022	92.6
2020 01 14 03	0.016	93.5
2020 01 14 04	0.012	93.01
2020 01 14 05	0.01	88.09
2020 01 14 06	0.01	86.32
2020 01 14 07	0.013	87.14
2020 01 14 08	0.019	89.02
2020 01 14 09	0.027	89.31
2020 01 14 10	0.034	90.0
2020 01 14 11	0.039	91.45
2020 01 14 12	0.041	92.29
2020 01 14 13	0.04	92.34
2020 01 14 14	0.037	93.09
2020 01 14 15	0.033	92.86
