Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2024 08 18 07	0.0	0.0
2024 08 18 08	0.009	90.0
2024 08 18 09	0.01	95.71
2024 08 18 10	0.002	90.0
2024 08 18 11	0.012	270.0
2024 08 18 12	0.023	272.48
2024 08 18 13	0.034	273.36
2024 08 18 14	0.041	272.79
2024 08 18 15	0.044	272.6
2024 08 18 16	0.042	272.72
2024 08 18 17	0.036	273.17
2024 08 18 18	0.028	272.04
2024 08 18 19	0.02	272.86
2024 08 18 20	0.014	274.08
2024 08 18 21	0.014	274.08
2024 08 18 22	0.016	273.57
2024 08 18 23	0.017	273.36
2024 08 19 00	0.018	273.17
2024 08 19 01	0.019	273.01
2024 08 19 02	0.016	273.57
2024 08 19 03	0.013	274.39
2024 08 19 04	0.011	275.19
2024 08 19 05	0.011	275.19
2024 08 19 06	0.013	274.39
2024 08 19 07	0.02	272.86
2024 08 19 08	0.033	273.46
2024 08 19 09	0.053	273.23
2024 08 19 10	0.074	273.09
2024 08 19 11	0.086	272.66
2024 08 19 12	0.09	272.54
2024 08 19 13	0.088	272.6
2024 08 19 14	0.084	272.72
2024 08 19 15	0.08	272.86
2024 08 19 16	0.076	273.01
2024 08 19 17	0.075	273.05
2024 08 19 18	0.072	273.17
2024 08 19 19	0.062	272.77
2024 08 19 20	0.053	273.23
2024 08 19 21	0.048	272.38
2024 08 19 22	0.045	272.54
2024 08 19 23	0.039	272.93
2024 08 20 00	0.029	273.94
2024 08 20 01	0.017	273.36
2024 08 20 02	0.007	270.0
2024 08 20 03	0.001	270.0
2024 08 20 04	0.003	270.0
2024 08 20 05	0.009	270.0
2024 08 20 06	0.015	273.81
2024 08 20 07	0.014	274.08
2024 08 20 08	0.005	270.0
2024 08 20 09	0.009	90.0
2024 08 20 10	0.028	92.04
2024 08 20 11	0.048	92.38
2024 08 20 12	0.063	92.72
2024 08 20 13	0.073	93.13
2024 08 20 14	0.068	93.36
2024 08 20 15	0.044	92.6
2024 08 20 16	0.012	94.76
2024 08 20 17	0.022	272.6
2024 08 20 18	0.045	272.54
2024 08 20 19	0.053	272.16
2024 08 20 20	0.048	272.38
2024 08 20 21	0.037	273.09
2024 08 20 22	0.022	272.6
2024 08 20 23	0.008	270.0
2024 08 21 00	0.025	92.29
2024 08 21 01	0.031	93.69
2024 08 21 02	0.03	93.81
2024 08 21 03	0.02	92.86
2024 08 21 04	0.006	90.0
2024 08 21 05	0.008	270.0
2024 08 21 06	0.021	272.72
2024 08 21 07	0.031	273.69
2024 08 21 08	0.04	272.86
2024 08 21 09	0.048	273.57
2024 08 21 10	0.057	273.01
2024 08 21 11	0.065	272.64
2024 08 21 12	0.066	272.6
2024 08 21 13	0.066	272.6
2024 08 21 14	0.065	272.64
2024 08 21 15	0.065	272.64
2024 08 21 16	0.066	272.6
2024 08 21 17	0.069	273.31
2024 08 21 18	0.075	273.05
2024 08 21 19	0.079	272.89
2024 08 21 20	0.083	272.75
2024 08 21 21	0.086	272.66
2024 08 21 22	0.09	273.17
2024 08 21 23	0.092	273.11
2024 08 22 00	0.087	272.63
2024 08 22 01	0.073	273.13
2024 08 22 02	0.046	273.73
2024 08 22 03	0.014	274.08
2024 08 22 04	0.017	90.0
2024 08 22 05	0.039	92.93
2024 08 22 06	0.05	92.29
2024 08 22 07	0.047	92.43
2024 08 22 08	0.034	93.36
2024 08 22 09	0.018	93.17
2024 08 22 10	0.001	90.0
2024 08 22 11	0.013	270.0
2024 08 22 12	0.026	272.2
2024 08 22 13	0.032	271.78
2024 08 22 14	0.026	272.2
2024 08 22 15	0.004	270.0
2024 08 22 16	0.025	92.29
2024 08 22 17	0.05	93.43
2024 08 22 18	0.065	92.64
2024 08 22 19	0.069	92.48
2024 08 22 20	0.069	92.48
2024 08 22 21	0.07	92.45
2024 08 22 22	0.057	93.01
2024 08 22 23	0.034	93.36
2024 08 23 00	0.014	94.08
2024 08 23 01	0.001	90.0
2024 08 23 02	0.001	90.0
2024 08 23 03	0.015	93.81
2024 08 23 04	0.03	91.9
2024 08 23 05	0.039	92.93
2024 08 23 06	0.04	92.86
2024 08 23 07	0.033	91.73
2024 08 23 08	0.018	93.17
2024 08 23 09	0.001	270.0
2024 08 23 10	0.022	272.6
2024 08 23 11	0.044	272.6
2024 08 23 12	0.067	272.56
2024 08 23 13	0.088	272.6
2024 08 23 14	0.092	272.48
2024 08 23 15	0.078	272.93
2024 08 23 16	0.052	273.3
2024 08 23 17	0.025	274.57
2024 08 23 18	0.001	315.0
2024 08 23 19	0.01	90.0
2024 08 23 20	0.003	90.0
2024 08 23 21	0.012	274.76
2024 08 23 22	0.026	272.2
2024 08 23 23	0.034	273.36
2024 08 24 00	0.029	271.97
2024 08 24 01	0.021	272.72
2024 08 24 02	0.009	270.0
2024 08 24 03	0.008	90.0
2024 08 24 04	0.029	91.97
2024 08 24 05	0.053	92.16
2024 08 24 06	0.077	92.23
2024 08 24 07	0.092	92.48
2024 08 24 08	0.091	92.51
2024 08 24 09	0.094	93.04
2024 08 24 10	0.09	93.17
2024 08 24 11	0.091	93.14
2024 08 24 12	0.094	93.04
2024 08 24 13	0.104	92.75
2024 08 24 14	0.106	93.23
2024 08 24 15	0.105	92.72
2024 08 24 16	0.099	92.89
2024 08 24 17	0.087	93.28
2024 08 24 18	0.072	93.17
2024 08 24 19	0.058	92.96
2024 08 24 20	0.047	92.43
2024 08 24 21	0.036	93.17
2024 08 24 22	0.03	93.81
2024 08 24 23	0.031	93.69
2024 08 25 00	0.04	92.86
2024 08 25 01	0.05	93.43
2024 08 25 02	0.055	93.12
2024 08 25 03	0.05	93.43
2024 08 25 04	0.04	92.86
2024 08 25 05	0.026	92.2
2024 08 25 06	0.012	90.0
2024 08 25 07	0.0	0.0
2024 08 25 08	0.007	278.13
2024 08 25 09	0.01	275.71
2024 08 25 10	0.011	275.19
2024 08 25 11	0.007	270.0
2024 08 25 12	0.0	0.0
2024 08 25 13	0.004	90.0
2024 08 25 14	0.001	270.0
2024 08 25 15	0.013	274.39
2024 08 25 16	0.024	272.38
2024 08 25 17	0.032	273.57
2024 08 25 18	0.035	273.27
2024 08 25 19	0.03	273.81
2024 08 25 20	0.018	273.17
2024 08 25 21	0.005	281.3
2024 08 25 22	0.01	90.0
2024 08 25 23	0.026	92.2
2024 08 26 00	0.042	92.72
2024 08 26 01	0.051	92.24
2024 08 26 02	0.053	93.23
2024 08 26 03	0.049	92.33
2024 08 26 04	0.042	92.72
2024 08 26 05	0.035	93.27
2024 08 26 06	0.025	92.29
2024 08 26 07	0.012	94.76
2024 08 26 08	0.004	270.0
2024 08 26 09	0.022	272.6
2024 08 26 10	0.039	272.93
2024 08 26 11	0.046	272.48
2024 08 26 12	0.052	273.3
2024 08 26 13	0.052	272.2
2024 08 26 14	0.048	272.38
2024 08 26 15	0.047	272.43
2024 08 26 16	0.05	272.29
2024 08 26 17	0.055	273.12
2024 08 26 18	0.06	272.86
2024 08 26 19	0.06	272.86
2024 08 26 20	0.058	272.96
2024 08 26 21	0.054	273.17
2024 08 26 22	0.049	273.5
2024 08 26 23	0.046	273.73
2024 08 27 00	0.046	273.73
2024 08 27 01	0.047	272.43
2024 08 27 02	0.052	273.3
2024 08 27 03	0.057	273.01
2024 08 27 04	0.06	272.86
2024 08 27 05	0.059	272.91
2024 08 27 06	0.05	273.43
2024 08 27 07	0.032	273.57
2024 08 27 08	0.011	275.19
2024 08 27 09	0.007	90.0
2024 08 27 10	0.012	90.0
2024 08 27 11	0.014	90.0
2024 08 27 12	0.03	91.9
2024 08 27 13	0.034	93.36
2024 08 27 14	0.016	93.57
2024 08 27 15	0.007	98.13
2024 08 27 16	0.009	96.34
2024 08 27 17	0.019	93.01
2024 08 27 18	0.029	93.94
2024 08 27 19	0.037	93.09
2024 08 27 20	0.047	92.43
2024 08 27 21	0.056	93.06
2024 08 27 22	0.055	93.12
2024 08 27 23	0.041	92.79
2024 08 28 00	0.015	93.81
2024 08 28 01	0.015	93.81
2024 08 28 02	0.008	90.0
2024 08 28 03	0.004	90.0
2024 08 28 04	0.004	90.0
2024 08 28 05	0.004	90.0
2024 08 28 06	0.009	90.0
2024 08 28 07	0.019	93.01
2024 08 28 08	0.028	92.04
2024 08 28 09	0.033	91.73
2024 08 28 10	0.034	91.68
2024 08 28 11	0.032	91.78
2024 08 28 12	0.025	92.29
2024 08 28 13	0.004	90.0
2024 08 28 14	0.032	271.78
2024 08 28 15	0.063	272.72
2024 08 28 16	0.08	272.14
2024 08 28 17	0.075	272.29
2024 08 28 18	0.057	273.01
2024 08 28 19	0.033	273.46
2024 08 28 20	0.011	275.19
2024 08 28 21	0.01	90.0
2024 08 28 22	0.026	92.2
2024 08 28 23	0.039	92.93
2024 08 29 00	0.045	92.54
2024 08 29 01	0.04	92.86
2024 08 29 02	0.024	92.38
2024 08 29 03	0.004	90.0
2024 08 29 04	0.013	270.0
2024 08 29 05	0.02	272.86
2024 08 29 06	0.019	273.01
2024 08 29 07	0.014	274.08
2024 08 29 08	0.007	270.0
2024 08 29 09	0.001	270.0
2024 08 29 10	0.003	90.0
2024 08 29 11	0.003	90.0
2024 08 29 12	0.006	270.0
2024 08 29 13	0.023	272.48
2024 08 29 14	0.043	272.66
2024 08 29 15	0.056	273.06
2024 08 29 16	0.062	272.77
2024 08 29 17	0.06	272.86
2024 08 29 18	0.053	273.23
2024 08 29 19	0.048	272.38
2024 08 29 20	0.034	273.36
2024 08 29 21	0.016	273.57
2024 08 29 22	0.001	270.0
2024 08 29 23	0.019	93.01
2024 08 30 00	0.049	92.33
2024 08 30 01	0.069	92.48
2024 08 30 02	0.071	92.41
2024 08 30 03	0.066	92.6
2024 08 30 04	0.059	92.91
2024 08 30 05	0.049	92.33
2024 08 30 06	0.043	92.66
2024 08 30 07	0.043	92.66
2024 08 30 08	0.045	92.54
2024 08 30 09	0.045	92.54
2024 08 30 10	0.042	92.72
2024 08 30 11	0.034	93.36
2024 08 30 12	0.015	93.81
2024 08 30 13	0.009	270.0
2024 08 30 14	0.036	271.59
2024 08 30 15	0.056	272.04
2024 08 30 16	0.062	272.77
2024 08 30 17	0.058	272.96
2024 08 30 18	0.044	272.6
2024 08 30 19	0.029	273.94
2024 08 30 20	0.007	278.13
2024 08 30 21	0.014	90.0
2024 08 30 22	0.03	91.9
2024 08 30 23	0.034	91.68
2024 08 31 00	0.026	92.2
2024 08 31 01	0.004	90.0
2024 08 31 02	0.03	271.9
2024 08 31 03	0.067	272.56
2024 08 31 04	0.089	272.57
2024 08 31 05	0.086	272.66
2024 08 31 06	0.081	272.82
2024 08 31 07	0.068	272.52
2024 08 31 08	0.051	273.36
2024 08 31 09	0.038	273.01
2024 08 31 10	0.023	272.48
2024 08 31 11	0.008	277.12
2024 08 31 12	0.002	270.0
2024 08 31 13	0.002	90.0
2024 08 31 14	0.005	90.0
2024 08 31 15	0.002	90.0
2024 08 31 16	0.004	270.0
2024 08 31 17	0.008	270.0
2024 08 31 18	0.011	270.0
2024 08 31 19	0.024	272.38
2024 08 31 20	0.031	271.84
2024 08 31 21	0.039	272.93
2024 08 31 22	0.034	273.36
2024 08 31 23	0.017	273.36
2024 09 01 00	0.004	90.0
2024 09 01 01	0.028	92.04
2024 09 01 02	0.05	92.29
2024 09 01 03	0.064	92.68
2024 09 01 04	0.071	92.41
2024 09 01 05	0.077	92.97
2024 09 01 06	0.071	92.41
2024 09 01 07	0.062	92.77
2024 09 01 08	0.062	92.77
2024 09 01 09	0.061	92.81
2024 09 01 10	0.055	93.12
2024 09 01 11	0.042	94.08
2024 09 01 12	0.027	94.23
2024 09 01 13	0.009	96.34
2024 09 01 14	0.011	270.0
2024 09 01 15	0.027	272.12
2024 09 01 16	0.033	271.73
2024 09 01 17	0.029	271.97
2024 09 01 18	0.018	273.17
2024 09 01 19	0.006	270.0
2024 09 01 20	0.007	90.0
2024 09 01 21	0.023	92.48
2024 09 01 22	0.031	91.84
2024 09 01 23	0.033	91.73
2024 09 02 00	0.03	91.9
2024 09 02 01	0.028	92.04
2024 09 02 02	0.027	92.12
2024 09 02 03	0.023	92.48
2024 09 02 04	0.016	93.57
2024 09 02 05	0.009	90.0
2024 09 02 06	0.008	90.0
2024 09 02 07	0.015	93.81
2024 09 02 08	0.023	92.48
2024 09 02 09	0.03	93.81
2024 09 02 10	0.035	93.27
2024 09 02 11	0.039	92.93
2024 09 02 12	0.044	92.6
2024 09 02 13	0.053	93.23
2024 09 02 14	0.064	92.68
2024 09 02 15	0.069	93.31
2024 09 02 16	0.062	92.77
2024 09 02 17	0.063	92.72
2024 09 02 18	0.067	92.56
2024 09 02 19	0.066	92.6
2024 09 02 20	0.065	92.64
2024 09 02 21	0.066	92.6
2024 09 02 22	0.072	93.17
2024 09 02 23	0.078	92.93
2024 09 03 00	0.082	92.79
2024 09 03 01	0.077	92.97
2024 09 03 02	0.074	93.09
2024 09 03 03	0.071	93.22
2024 09 03 04	0.068	92.52
2024 09 03 05	0.068	92.52
2024 09 03 06	0.073	92.35
2024 09 03 07	0.084	92.72
2024 09 03 08	0.097	92.95
2024 09 03 09	0.112	93.06
2024 09 03 10	0.128	92.68
2024 09 03 11	0.131	93.05
2024 09 03 12	0.12	92.86
2024 09 03 13	0.108	93.17
2024 09 03 14	0.084	92.72
2024 09 03 15	0.073	93.13
2024 09 03 16	0.062	92.77
2024 09 03 17	0.056	93.06
2024 09 03 18	0.055	93.12
2024 09 03 19	0.057	93.01
2024 09 03 20	0.064	92.68
2024 09 03 21	0.068	92.52
2024 09 03 22	0.065	92.64
2024 09 03 23	0.059	92.91
2024 09 04 00	0.056	93.06
2024 09 04 01	0.049	93.5
2024 09 04 02	0.041	92.79
2024 09 04 03	0.036	93.17
2024 09 04 04	0.033	93.46
2024 09 04 05	0.032	93.57
2024 09 04 06	0.036	93.17
2024 09 04 07	0.047	92.43
2024 09 04 08	0.059	92.91
2024 09 04 09	0.073	93.13
2024 09 04 10	0.084	92.72
2024 09 04 11	0.088	92.6
2024 09 04 12	0.084	92.72
2024 09 04 13	0.072	93.17
2024 09 04 14	0.059	92.91
2024 09 04 15	0.047	93.65
2024 09 04 16	0.038	93.01
2024 09 04 17	0.028	92.04
2024 09 04 18	0.028	92.04
2024 09 04 19	0.037	93.09
2024 09 04 20	0.05	92.29
2024 09 04 21	0.07	92.45
2024 09 04 22	0.083	92.75
2024 09 04 23	0.082	92.79
2024 09 05 00	0.071	93.22
2024 09 05 01	0.059	92.91
2024 09 05 02	0.048	93.57
2024 09 05 03	0.04	92.86
2024 09 05 04	0.033	93.46
2024 09 05 05	0.024	92.38
2024 09 05 06	0.021	92.72
2024 09 05 07	0.025	92.29
2024 09 05 08	0.036	93.17
2024 09 05 09	0.049	92.33
2024 09 05 10	0.063	92.72
2024 09 05 11	0.073	93.13
2024 09 05 12	0.071	93.22
2024 09 05 13	0.06	92.86
2024 09 05 14	0.05	93.43
2024 09 05 15	0.044	92.6
2024 09 05 16	0.034	93.36
2024 09 05 17	0.018	93.17
2024 09 05 18	0.006	90.0
2024 09 05 19	0.001	90.0
2024 09 05 20	0.007	90.0
2024 09 05 21	0.022	92.6
2024 09 05 22	0.037	93.09
2024 09 05 23	0.044	92.6
2024 09 06 00	0.044	92.6
2024 09 06 01	0.039	92.93
2024 09 06 02	0.029	91.97
2024 09 06 03	0.019	93.01
2024 09 06 04	0.007	90.0
2024 09 06 05	0.005	270.0
2024 09 06 06	0.015	273.81
2024 09 06 07	0.021	272.72
2024 09 06 08	0.02	272.86
2024 09 06 09	0.013	274.39
2024 09 06 10	0.004	270.0
2024 09 06 11	0.0	0.0
2024 09 06 12	0.011	270.0
2024 09 06 13	0.034	273.36
2024 09 06 14	0.05	272.29
2024 09 06 15	0.063	272.72
2024 09 06 16	0.073	273.13
2024 09 06 17	0.08	272.86
2024 09 06 18	0.084	272.72
2024 09 06 19	0.087	273.28
2024 09 06 20	0.081	272.82
2024 09 06 21	0.053	273.23
2024 09 06 22	0.014	274.08
2024 09 06 23	0.002	90.0
2024 09 07 00	0.017	93.36
2024 09 07 01	0.026	92.2
2024 09 07 02	0.03	93.81
2024 09 07 03	0.027	92.12
2024 09 07 04	0.018	93.17
2024 09 07 05	0.008	90.0
2024 09 07 06	0.004	270.0
2024 09 07 07	0.014	274.08
2024 09 07 08	0.016	273.57
2024 09 07 09	0.008	277.12
2024 09 07 10	0.012	94.76
2024 09 07 11	0.034	93.36
2024 09 07 12	0.05	93.43
2024 09 07 13	0.059	92.91
2024 09 07 14	0.059	92.91
2024 09 07 15	0.05	93.43
2024 09 07 16	0.037	93.09
2024 09 07 17	0.022	92.6
2024 09 07 18	0.009	90.0
2024 09 07 19	0.005	270.0
2024 09 07 20	0.014	274.08
2024 09 07 21	0.011	275.19
2024 09 07 22	0.001	270.0
2024 09 07 23	0.012	94.76
2024 09 08 00	0.025	92.29
2024 09 08 01	0.038	93.01
2024 09 08 02	0.044	92.6
2024 09 08 03	0.039	92.93
2024 09 08 04	0.028	92.04
2024 09 08 05	0.018	93.17
2024 09 08 06	0.009	90.0
2024 09 08 07	0.004	90.0
2024 09 08 08	0.007	90.0
2024 09 08 09	0.016	93.57
2024 09 08 10	0.03	91.9
2024 09 08 11	0.048	92.38
2024 09 08 12	0.071	93.22
2024 09 08 13	0.088	92.6
2024 09 08 14	0.095	93.01
2024 09 08 15	0.086	92.66
2024 09 08 16	0.069	92.48
2024 09 08 17	0.052	93.3
2024 09 08 18	0.036	93.17
2024 09 08 19	0.026	92.2
2024 09 08 20	0.026	92.2
2024 09 08 21	0.035	93.27
2024 09 08 22	0.051	92.24
2024 09 08 23	0.074	93.09
2024 09 09 00	0.098	92.92
2024 09 09 01	0.11	92.6
2024 09 09 02	0.105	92.72
2024 09 09 03	0.093	93.07
2024 09 09 04	0.08	92.86
2024 09 09 05	0.067	92.56
2024 09 09 06	0.056	93.06
2024 09 09 07	0.051	92.24
2024 09 09 08	0.046	92.48
2024 09 09 09	0.049	92.33
2024 09 09 10	0.057	93.01
2024 09 09 11	0.068	92.52
2024 09 09 12	0.081	92.82
2024 09 09 13	0.09	92.54
2024 09 09 14	0.093	93.07
2024 09 09 15	0.087	92.63
2024 09 09 16	0.071	93.22
2024 09 09 17	0.054	93.17
2024 09 09 18	0.039	92.93
2024 09 09 19	0.026	92.2
2024 09 09 20	0.024	92.38
2024 09 09 21	0.029	91.97
2024 09 09 22	0.041	92.79
2024 09 09 23	0.059	92.91
2024 09 10 00	0.072	93.17
2024 09 10 01	0.073	93.13
2024 09 10 02	0.067	92.56
2024 09 10 03	0.057	93.01
2024 09 10 04	0.044	92.6
2024 09 10 05	0.029	91.97
2024 09 10 06	0.016	93.57
2024 09 10 07	0.008	90.0
2024 09 10 08	0.003	90.0
2024 09 10 09	0.003	90.0
2024 09 10 10	0.009	90.0
2024 09 10 11	0.017	93.36
2024 09 10 12	0.026	92.2
2024 09 10 13	0.035	93.27
2024 09 10 14	0.042	92.72
2024 09 10 15	0.046	92.48
2024 09 10 16	0.042	92.72
2024 09 10 17	0.034	93.36
2024 09 10 18	0.027	92.12
2024 09 10 19	0.023	92.48
2024 09 10 20	0.025	92.29
2024 09 10 21	0.026	92.2
2024 09 10 22	0.032	93.57
2024 09 10 23	0.04	92.86
2024 09 11 00	0.048	92.38
2024 09 11 01	0.065	92.64
2024 09 11 02	0.07	92.45
2024 09 11 03	0.07	92.45
2024 09 11 04	0.067	92.56
2024 09 11 05	0.059	92.91
2024 09 11 06	0.05	92.29
2024 09 11 07	0.046	92.48
2024 09 11 08	0.039	92.93
2024 09 11 09	0.036	93.17
2024 09 11 10	0.041	92.79
2024 09 11 11	0.052	92.2
2024 09 11 12	0.068	92.52
2024 09 11 13	0.081	92.82
2024 09 11 14	0.09	92.54
2024 09 11 15	0.092	93.11
2024 09 11 16	0.09	92.54
2024 09 11 17	0.085	92.69
2024 09 11 18	0.077	92.97
2024 09 11 19	0.067	92.56
2024 09 11 20	0.059	92.91
2024 09 11 21	0.055	93.12
2024 09 11 22	0.058	92.96
2024 09 11 23	0.053	93.23
2024 09 12 00	0.04	92.86
2024 09 12 01	0.031	93.69
2024 09 12 02	0.024	92.38
2024 09 12 03	0.015	93.81
2024 09 12 04	0.006	90.0
2024 09 12 05	0.006	270.0
2024 09 12 06	0.023	272.48
2024 09 12 07	0.033	273.46
2024 09 12 08	0.037	273.09
2024 09 12 09	0.037	273.09
2024 09 12 10	0.029	271.97
2024 09 12 11	0.015	273.81
2024 09 12 12	0.001	90.0
2024 09 12 13	0.01	90.0
2024 09 12 14	0.018	93.17
2024 09 12 15	0.023	92.48
2024 09 12 16	0.025	92.29
2024 09 12 17	0.023	92.48
2024 09 12 18	0.019	93.01
2024 09 12 19	0.015	93.81
2024 09 12 20	0.008	90.0
2024 09 12 21	0.001	90.0
2024 09 12 22	0.005	270.0
2024 09 12 23	0.013	274.39
2024 09 13 00	0.01	270.0
2024 09 13 01	0.007	270.0
2024 09 13 02	0.004	270.0
2024 09 13 03	0.002	270.0
2024 09 13 04	0.0	0.0
2024 09 13 05	0.001	270.0
2024 09 13 06	0.005	270.0
2024 09 13 07	0.016	273.57
2024 09 13 08	0.031	271.84
2024 09 13 09	0.048	272.38
2024 09 13 10	0.059	272.91
2024 09 13 11	0.071	272.41
2024 09 13 12	0.079	272.89
2024 09 13 13	0.081	272.82
2024 09 13 14	0.078	272.93
2024 09 13 15	0.073	273.13
2024 09 13 16	0.067	272.56
2024 09 13 17	0.06	272.86
2024 09 13 18	0.052	273.3
2024 09 13 19	0.049	272.33
2024 09 13 20	0.057	273.01
2024 09 13 21	0.067	272.56
2024 09 13 22	0.072	273.17
2024 09 13 23	0.072	273.17
2024 09 14 00	0.07	273.27
2024 09 14 01	0.067	272.56
2024 09 14 02	0.061	272.81
2024 09 14 03	0.055	273.12
2024 09 14 04	0.05	273.43
2024 09 14 05	0.048	272.38
2024 09 14 06	0.048	272.38
2024 09 14 07	0.051	272.24
2024 09 14 08	0.061	272.81
2024 09 14 09	0.073	273.13
2024 09 14 10	0.087	272.63
2024 09 14 11	0.1	272.86
2024 09 14 12	0.108	272.65
2024 09 14 13	0.11	272.6
2024 09 14 14	0.107	272.67
2024 09 14 15	0.1	272.86
2024 09 14 16	0.089	272.57
2024 09 14 17	0.079	272.89
2024 09 14 18	0.07	272.45
2024 09 14 19	0.06	272.86
2024 09 14 20	0.05	272.29
2024 09 14 21	0.04	272.86
2024 09 14 22	0.027	272.12
2024 09 14 23	0.016	273.57
2024 09 15 00	0.01	275.71
2024 09 15 01	0.007	278.13
2024 09 15 02	0.006	279.46
2024 09 15 03	0.006	270.0
2024 09 15 04	0.006	279.46
2024 09 15 05	0.009	276.34
2024 09 15 06	0.012	274.76
2024 09 15 07	0.014	274.08
2024 09 15 08	0.017	273.36
2024 09 15 09	0.02	272.86
2024 09 15 10	0.023	272.48
2024 09 15 11	0.028	272.04
2024 09 15 12	0.035	273.27
2024 09 15 13	0.042	272.72
2024 09 15 14	0.045	272.54
2024 09 15 15	0.042	272.72
2024 09 15 16	0.035	273.27
2024 09 15 17	0.026	274.39
2024 09 15 18	0.017	273.36
2024 09 15 19	0.012	274.76
2024 09 15 20	0.013	274.39
2024 09 15 21	0.016	273.57
2024 09 15 22	0.018	273.17
2024 09 15 23	0.018	273.17
2024 09 16 00	0.012	274.76
2024 09 16 01	0.003	270.0
2024 09 16 02	0.008	90.0
2024 09 16 03	0.018	93.17
2024 09 16 04	0.023	92.48
2024 09 16 05	0.021	92.72
2024 09 16 06	0.013	94.39
2024 09 16 07	0.001	90.0
2024 09 16 08	0.008	270.0
2024 09 16 09	0.009	270.0
2024 09 16 10	0.006	270.0
2024 09 16 11	0.012	270.0
2024 09 16 12	0.03	271.9
2024 09 16 13	0.044	272.6
2024 09 16 14	0.041	272.79
2024 09 16 15	0.031	273.69
2024 09 16 16	0.019	273.01
2024 09 16 17	0.011	275.19
2024 09 16 18	0.011	275.19
2024 09 16 19	0.017	273.36
2024 09 16 20	0.034	273.36
2024 09 16 21	0.055	272.08
2024 09 16 22	0.057	273.01
2024 09 16 23	0.043	272.66
2024 09 17 00	0.02	272.86
2024 09 17 01	0.001	270.0
2024 09 17 02	0.008	90.0
2024 09 17 03	0.007	90.0
2024 09 17 04	0.001	90.0
2024 09 17 05	0.006	279.46
2024 09 17 06	0.011	275.19
2024 09 17 07	0.017	273.36
2024 09 17 08	0.026	272.2
2024 09 17 09	0.038	273.01
2024 09 17 10	0.052	273.3
2024 09 17 11	0.063	272.72
2024 09 17 12	0.062	272.77
2024 09 17 13	0.061	272.81
2024 09 17 14	0.061	272.81
2024 09 17 15	0.053	273.23
2024 09 17 16	0.052	273.3
2024 09 17 17	0.056	273.06
2024 09 17 18	0.058	272.96
2024 09 17 19	0.051	273.36
2024 09 17 20	0.038	273.01
2024 09 17 21	0.024	272.38
2024 09 17 22	0.006	270.0
2024 09 17 23	0.016	90.0
2024 09 18 00	0.029	91.97
2024 09 18 01	0.041	91.39
2024 09 18 02	0.048	92.38
2024 09 18 03	0.046	92.48
2024 09 18 04	0.032	91.78
2024 09 18 05	0.007	90.0
2024 09 18 06	0.019	273.01
2024 09 18 07	0.041	272.79
2024 09 18 08	0.054	272.12
2024 09 18 09	0.062	272.77
2024 09 18 10	0.085	272.69
2024 09 18 11	0.108	272.65
2024 09 18 12	0.1	272.86
2024 09 18 13	0.074	273.09
2024 09 18 14	0.042	272.72
2024 09 18 15	0.017	273.36
2024 09 18 16	0.008	277.12
2024 09 18 17	0.016	273.57
2024 09 18 18	0.031	273.69
2024 09 18 19	0.042	272.72
2024 09 18 20	0.043	272.66
2024 09 18 21	0.047	272.43
2024 09 18 22	0.047	272.43
2024 09 18 23	0.045	272.54
2024 09 19 00	0.032	273.57
2024 09 19 01	0.016	273.57
2024 09 19 02	0.003	90.0
2024 09 19 03	0.021	92.72
2024 09 19 04	0.033	91.73
2024 09 19 05	0.034	93.36
2024 09 19 06	0.024	92.38
2024 09 19 07	0.006	90.0
2024 09 19 08	0.011	270.0
2024 09 19 09	0.022	272.6
2024 09 19 10	0.026	272.2
2024 09 19 11	0.022	272.6
2024 09 19 12	0.011	275.19
2024 09 19 13	0.006	90.0
2024 09 19 14	0.027	92.12
2024 09 19 15	0.045	92.54
2024 09 19 16	0.058	92.96
2024 09 19 17	0.06	92.86
2024 09 19 18	0.052	93.3
2024 09 19 19	0.039	92.93
2024 09 19 20	0.027	92.12
2024 09 19 21	0.03	93.81
2024 09 19 22	0.038	93.01
2024 09 19 23	0.049	92.33
2024 09 20 00	0.084	92.72
2024 09 20 01	0.086	92.66
2024 09 20 02	0.092	92.48
2024 09 20 03	0.094	93.04
2024 09 20 04	0.088	93.25
2024 09 20 05	0.069	93.31
2024 09 20 06	0.046	92.48
2024 09 20 07	0.031	93.69
2024 09 20 08	0.024	92.38
2024 09 20 09	0.023	92.48
2024 09 20 10	0.026	92.2
2024 09 20 11	0.03	91.9
2024 09 20 12	0.036	93.17
2024 09 20 13	0.043	92.66
2024 09 20 14	0.052	93.3
2024 09 20 15	0.054	93.17
2024 09 20 16	0.043	93.99
2024 09 20 17	0.026	94.39
2024 09 20 18	0.014	94.08
2024 09 20 19	0.012	94.76
2024 09 20 20	0.018	93.17
2024 09 20 21	0.029	91.97
2024 09 20 22	0.037	93.09
2024 09 20 23	0.043	92.66
2024 09 21 00	0.046	92.48
2024 09 21 01	0.049	92.33
2024 09 21 02	0.053	92.16
2024 09 21 03	0.055	93.12
2024 09 21 04	0.048	93.57
2024 09 21 05	0.033	93.46
2024 09 21 06	0.024	92.38
2024 09 21 07	0.026	92.2
2024 09 21 08	0.035	93.27
2024 09 21 09	0.047	92.43
