Valor nulo: -9999.9	
Fecha (GMT)	Temperatura del Agua(ºC)
2020 01 14 14	13.167
2020 01 14 15	13.177
2020 01 14 16	13.187
2020 01 14 17	13.197
2020 01 14 18	13.194
2020 01 14 19	13.184
2020 01 14 20	13.176
2020 01 14 21	13.166
2020 01 14 22	13.155
2020 01 14 23	13.147
2020 01 15 00	13.181
2020 01 15 01	13.181
2020 01 15 02	13.183
2020 01 15 03	13.186
2020 01 15 04	13.188
2020 01 15 05	13.188
2020 01 15 06	13.186
2020 01 15 07	13.181
2020 01 15 08	13.174
2020 01 15 09	13.162
2020 01 15 10	13.147
2020 01 15 11	13.128
2020 01 15 12	13.126
2020 01 15 13	13.133
2020 01 15 14	13.142
2020 01 15 15	13.184
2020 01 15 16	13.256
2020 01 15 17	13.316
2020 01 15 18	13.314
2020 01 15 19	13.267
2020 01 15 20	13.239
2020 01 15 21	13.213
2020 01 15 22	13.183
2020 01 15 23	13.163
2020 01 16 00	13.157
2020 01 16 01	13.149
2020 01 16 02	13.144
2020 01 16 03	13.141
2020 01 16 04	13.136
2020 01 16 05	13.132
2020 01 16 06	13.128
2020 01 16 07	13.125
2020 01 16 08	13.126
2020 01 16 09	13.134
2020 01 16 10	13.148
2020 01 16 11	13.165
2020 01 16 12	13.191
2020 01 16 13	13.217
2020 01 16 14	13.237
2020 01 16 15	13.256
2020 01 16 16	13.276
2020 01 16 17	13.293
2020 01 16 18	13.294
2020 01 16 19	13.287
2020 01 16 20	13.283
2020 01 16 21	13.277
2020 01 16 22	13.266
2020 01 16 23	13.246
2020 01 17 00	13.216
2020 01 17 01	13.184
2020 01 17 02	13.172
2020 01 17 03	13.173
2020 01 17 04	13.185
2020 01 17 05	13.199
2020 01 17 06	13.208
2020 01 17 07	13.208
2020 01 17 08	13.204
2020 01 17 09	13.197
2020 01 17 10	13.189
2020 01 17 11	13.18
2020 01 17 12	13.179
2020 01 17 13	13.181
2020 01 17 14	13.182
2020 01 17 15	13.188
2020 01 17 16	13.195
2020 01 17 17	13.204
2020 01 17 18	13.19
2020 01 17 19	13.158
2020 01 17 20	13.128
2020 01 17 21	13.099
2020 01 17 22	13.064
2020 01 17 23	13.032
2020 01 18 00	13.006
2020 01 18 01	12.98
2020 01 18 02	12.954
2020 01 18 03	12.929
2020 01 18 04	12.903
